CONTIG_ID	INCOMING_CONTIGS	OUTGOING_CONTIGS	SEQUENCE
0	15	57,58	aboveimonly
1	9	43,44,45	afterall
2	39	63,64	akealookinthemirrorandwhatdoyousee
3	17	61,62	akingyoucry
4	43	59,60	alldontput
5	44		allimonl
6	45	50,51,52,53	allyoureonlyhuman
7	29	40,41,42	alproblemssomepeople
8	22	37,38,39	ameonme
9	50	1	anafter
10	14	67,68,69	andseewhatsbehindgotnowaytoproveitsomaybeim
11	51	50,51,52,53	anhuman
12	52		animonl
13	53		anmaybe
14	23	10	anseethroughthisandse
15	24	0	ansolvethemlordheavensabove
16	26		arerorareyoudeceivedinwhatyoubelievecauseimon
17	65	3	askmetoliethenbegforforgivenessformaking
18	66	65,66	askmyopiniondontaskm
19	67	48,49	beimblindthinki
20	68		beimfoolishmaybe
21	69		beimlyingbutimonl
22	30,60	8	blameon
23	54	14	cansee
24	55	15	cansol
25	41		cksomep
26	35	16	clearero
27	61		crycause
28	62		crymakin
29	36	7	ealpro
30	47	22	eblame
31	37		edonta
32	37		edontp
33	34		edoyou
34	63	33	eedoyo
35	64	26	eeitclear
36	40	29	egottherealpr
37	8	31,32	eonmedont
38	8		eonmesomep
39	8	2	eonmetakeal
40	7	36	eoplegott
41	7	25	eopleoutoflucksom
42	7		eoplethink
43	1	4	eralldo
44	1	5	erallim
45	1	6	erallyo
46	49	54,55	gicans
47	59	30	heblam
48	19	54,55	hinkicans
49	19	46	hinkingican
50	6,11	9	humanaft
51	6,11	11	humanhum
52	6,11	12	humanimo
53	6,11	13	humanmay
54	46,48	23	icanse
55	46,48	24	icanso
56	58		lyimonl
57	0		monlyh
58	0	56	monlyimo
59	4	47	ntputthebla
60	4	22	ntputyourblame
61	3	27	oucryca
62	3	28	oucryma
63	2	34	ouseedoy
64	2	35	ouseeitc
65	18	17	taskme
66	18	18	taskmy
67	10	19	ybeimb
68	10	20	ybeimf
69	10	21	ybeiml
