PREFIX	SUFFIX	KMER	COUNT	OUT_DEG	IN_DEG
above	bovei	abovei	2	2	2
after	ftera	aftera	33	33	33
akeal	kealo	akealo	3	3	3
aking	kingy	akingy	7	7	7
alldo	lldon	alldon	12	12	12
allim	llimo	allimo	14	14	14
allyo	llyou	allyou	2	2	2
alook	looki	alooki	3	3	3
alpro	lprob	alprob	2	2	2
ameon	meonm	ameonm	17	17	17
anaft	nafte	anafte	34	34	34
andse	ndsee	andsee	6	6	6
andwh	ndwha	andwha	5	5	5
anhum	nhuma	anhuma	7	7	7
animo	nimon	animon	2	2	2
anmay	nmayb	anmayb	5	5	5
ansee	nseet	anseet	5	5	5
ansol	nsolv	ansolv	2	2	2
arero	reror	areror	3	3	3
areyo	reyou	areyou	4	4	4
askme	skmet	askmet	2	2	2
askmy	skmyo	askmyo	3	3	3
atdoy	tdoyo	atdoyo	4	4	4
atsbe	tsbeh	atsbeh	6	6	6
atyou	tyoub	atyoub	4	4	4
ausei	useim	auseim	6	6	6
avens	vensa	avensa	4	4	4
aybei	ybeim	aybeim	9	9	9
aytop	ytopr	aytopr	4	4	4
begfo	egfor	begfor	4	4	4
behin	ehind	behind	5	5	5
beimb	eimbl	beimbl	3	3	3
beimf	eimfo	beimfo	3	3	3
beiml	eimly	beimly	3	3	3
belie	eliev	believ	5	5	5
blame	lameo	blameo	19	19	19
blems	lemss	blemss	2	2	2
blind	lindt	blindt	4	4	4
bovei	oveim	boveim	2	2	2
butim	utimo	butimo	3	3	3
canse	ansee	cansee	4	4	4
canso	ansol	cansol	3	3	3
cause	ausei	causei	6	6	6
ceive	eived	ceived	2	2	2
cksom	ksome	cksome	3	3	3
clear	leare	cleare	3	3	3
cryca	rycau	crycau	3	3	3
cryma	rymak	crymak	3	3	3
decei	eceiv	deceiv	2	2	2
dgotn	gotno	dgotno	5	5	5
dheav	heave	dheave	4	4	4
dinwh	inwha	dinwha	3	3	3
donta	ontas	dontas	5	5	5
dontp	ontpu	dontpu	23	23	23
doyou	oyous	doyous	11	11	11
dseew	seewh	dseewh	4	4	4
dthin	think	dthink	3	3	5
dwhat	whatd	dwhatd	5	5	5
ealoo	alook	ealook	3	3	3
