KMER	COUNT	SOURCE	DEST
ached	5	ache	ched
adeth	10	adet	deth
adows	5	adow	dows
afire	8	afir	fire
again	1	agai	gain
aligh	6	alig	ligh
allbe	16	allb	llbe
allsp	5	alls	llsp
allth	6	allt	llth
ander	7	ande	nder
arelo	11	arel	relo
areno	5	aren	reno
asbro	11	asbr	sbro
ashes	7	ashe	shes
atisg	3	atis	tisg
atiss	8	atis	tiss
atwas	13	atwa	twas
bebla	8	bebl	ebla
bewok	8	bewo	ewok
blade	8	blad	lade
broke	11	brok	roke
bythe	5	byth	ythe
chedb	6	ched	hedb
crown	7	crow	rown
dbyth	6	dbyt	byth
ddoes	3	ddoe	does
deepr	7	deep	eepr
derar	9	dera	erar
detha	11	deth	etha
doesn	9	does	oesn
dowss	4	dows	owss
dshal	5	dsha	shal
dthat	9	dtha	that
eache	5	each	ache
eashe	7	eash	ashe
eblad	8	ebla	blad
ecrow	7	ecro	crow
edbyt	7	edby	dbyt
edsha	7	edsh	dsha
eepro	7	eepr	epro
efros	4	efro	fros
elost	11	elos	lost
enali	8	enal	nali
enewe	6	enew	newe
enotr	5	enot	notr
enthe	10	enth	nthe
eoldt	9	eold	oldt
eproo	8	epro	proo
erare	9	erar	rare
erdee	7	erde	rdee
ernot	5	erno	rnot
esafi	9	esaf	safi
eshad	5	esha	shad
eshal	8	esha	shal
esnot	10	esno	snot
essag	4	essa	ssag
ethat	12	etha	that
eweds	6	ewed	weds
ewhow	7	ewho	whow
ewoke	8	ewok	woke
fires	8	fire	ires
fromt	9	from	romt
frost	4	fros	rost
gdoes	8	gdoe	does
ghtfr	6	ghtf	htfr
glitt	4	glit	litt
goldd	3	gold	oldd
grene	6	gren	rene
hadow	5	hado	adow
hallb	15	hall	allb
halls	5	hall	alls
hatis	10	hati	atis
hatwa	13	hatw	atwa
heash	7	heas	eash
hecro	8	hecr	ecro
hedby	6	hedb	edby
hefro	4	hefr	efro
heold	10	heol	eold
herde	8	herd	erde
hesaf	9	hesa	esaf
hesha	5	hesh	esha
hosew	7	hose	osew
howan	8	howa	owan
htfro	6	htfr	tfro
ightf	6	ight	ghtf
ingre	6	ingr	ngre
iresh	8	ires	resh
isgol	3	isgo	sgol
isstr	11	isst	sstr
ither	6	ithe	ther
itter	5	itte	tter
kenal	8	kena	enal
kenth	11	kent	enth
ladet	10	lade	adet
lbebl	8	lbeb	bebl
lbewo	9	lbew	bewo
lddoe	3	lddo	ddoe
ldtha	10	ldth	dtha
lessa	6	less	essa
light	6	ligh	ight
litte	4	litt	itte
llbeb	7	llbe	lbeb
llbew	9	llbe	lbew
llspr	4	llsp	lspr
lltho	5	llth	ltho
lostt	11	lost	ostt
lspri	4	lspr	spri
lthat	2	ltha	that
lthos	5	ltho	thos
mthea	7	mthe	thea
mthes	4	mthe	thes
nalig	6	nali	alig
ndera	9	nder	dera
newed	6	newe	ewed
ngdoe	8	ngdo	gdoe
ngren	6	ngre	gren
nless	6	nles	less
notal	6	nota	otal
notgl	4	notg	otgl
notre	5	notr	otre
notwi	6	notw	otwi
nthec	9	nthe	thec
oesno	10	oesn	esno
okena	7	oken	kena
okent	11	oken	kent
olddo	3	oldd	lddo
oldth	10	oldt	ldth
omthe	10	omth	mthe
ongdo	8	ongd	ngdo
ootsa	5	oots	otsa
osewh	7	osew	sewh
ostfr	4	ostf	stfr
ostth	11	ostt	stth
otall	4	otal	tall
otgli	4	otgl	tgli
otrea	5	otre	trea
otsar	5	otsa	tsar
otwit	6	otwi	twit
owand	8	owan	wand
ownle	6	ownl	wnle
owssh	4	owss	wssh
pring	4	prin	ring
proot	8	proo	root
rarel	11	rare	arel
rdeep	7	rdee	deep
reach	4	reac	each
relos	11	relo	elos
renew	6	rene	enew
renot	5	reno	enot
resha	8	resh	esha
ringr	4	ring	ingr
rnota	5	rnot	nota
roken	11	roke	oken
romth	8	romt	omth
rongd	10	rong	ongd
roots	6	root	oots
rostf	4	rost	ostf
rownl	7	rown	ownl
safir	9	safi	afir
sagai	2	saga	agai
saren	5	sare	aren
sbrok	11	sbro	brok
sewho	7	sewh	ewho
sgold	3	sgol	gold
shado	5	shad	hado
shall	18	shal	hall
shesa	8	shes	hesa
snotg	4	snot	notg
snotw	6	snot	notw
sprin	4	spri	prin
ssaga	3	ssag	saga
sshal	4	ssha	shal
sstro	10	sstr	stro
stfro	5	stfr	tfro
stron	10	stro	tron
stthe	12	stth	tthe
tallt	5	tall	allt
terno	5	tern	erno
tfrom	10	tfro	from
tglit	4	tgli	glit
thati	10	that	hati
thatw	13	that	hatw
theas	7	thea	heas
thecr	9	thec	hecr
thefr	4	thef	hefr
theol	11	theo	heol
therd	7	ther	herd
thesh	4	thes	hesh
those	6	thos	hose
tisgo	3	tisg	isgo
tisst	10	tiss	isst
treac	4	trea	reac
trong	10	tron	rong
tsare	5	tsar	sare
ttern	5	tter	tern
ttheo	11	tthe	theo
twasb	13	twas	wasb
twith	5	twit	with
wande	7	wand	ande
wasbr	11	wasb	asbr
wedsh	6	weds	edsh
whowa	7	whow	howa
withe	5	with	ithe
wnles	6	wnle	nles
woken	7	woke	oken
wssha	4	wssh	ssha
ythef	4	ythe	thef
