RANK	LENGTH	NUM_CONTIGS	PATH	SEQUENCE
1	135	17	6->51->11->50->9->1->43->4->60->22->8->39->2->64->35->26->16	allyoureonlyhumanhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
2	134	19	6->51->11->50->9->1->43->4->59->47->30->22->8->39->2->64->35->26->16	allyoureonlyhumanhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
3	130	15	6->50->9->1->43->4->60->22->8->39->2->64->35->26->16	allyoureonlyhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
4	129	17	6->50->9->1->43->4->59->47->30->22->8->39->2->64->35->26->16	allyoureonlyhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
5	120	15	11->50->9->1->43->4->60->22->8->39->2->64->35->26->16	anhumanafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
6	119	17	11->50->9->1->43->4->59->47->30->22->8->39->2->64->35->26->16	anhumanafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
7	115	13	9->1->43->4->60->22->8->39->2->64->35->26->16	anafteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
8	114	15	9->1->43->4->59->47->30->22->8->39->2->64->35->26->16	anafteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
9	113	12	1->43->4->60->22->8->39->2->64->35->26->16	afteralldontputyourblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
10	112	14	1->43->4->59->47->30->22->8->39->2->64->35->26->16	afteralldontputtheblameonmetakealookinthemirrorandwhatdoyouseeitclearerorareyoudeceivedinwhatyoubelievecauseimon
